,year,breed,dog,owner(s),group,BIS
28,1995,Akita,Ch. Tobe’s Return Of The Jedai,Ruth Winston,Working,False
29,1994,Boxer,Ch. Hi-Tech’s Arbitrage,Dr. & Mrs. William Truesdale,Working,False
30,1993,Komondor,Ch. Lojosmegyi Dahu Digal,Patricia Turner & Anna Quigley,Working,False
31,1992,Bullmastiff,Ch. Mr U’s Music Man,"Bill Underwood, Janet & David Morris",Working,False
32,1991,Boxer,Ch. Kiebla’s Tradition of Turo,Bruce & Jeannie Korson,Working,False
33,1990,Giant Schnauzer,Ch. Skansen’s I Have A Dream,Marcia Nanci,Working,False
34,1989,Doberman Pinscher,"Ch. Royal Tudor’s Wild As The Wind, CD","S. & A. Korp, B. Wilhite, R. & C. Vida",Working,True
35,1988,Doberman Pinscher,Ch. Royal Tudor’s Wild As The Wind CD,"S. & A. Korp, B. Wilhite",Working,False
36,1987,Boxer,Ch. TuRo’s Cachet,Leonard & Susan Magowitz,Working,False
37,1986,Boxer,Ch. TuRo’s Cachet,Leonard & Susan Magowitz,Working,False
38,1985,Bernese Mountain Dog,Ch. Shersan Chan O’Pace V Halidom,Robert & Carolyn Kinley,Working,False
39,1984,Newfoundland,Ch. Seaward’s Blackbeard,"Seaward Kennels, Reg.",Working,True
40,1983,Great Dane,Ch. C & B’s Special-K Gribbin,J. & F. Campbell & J. & M. Benjamin,Working,False
41,1982,German Shepherd Dog,Ch. Beech Hills Benji Von Masco,Mary Ellen Thomas,Working,False
42,1981,Briard,Ch. Phydeaux What’s Happenin’,M. L. Tingley & Ira Ackerson,Working,False
43,1980,Siberian Husky,Ch. Innisfree’s Sierra Cinnar,Kathleen Kanzler,Working,True
44,1979,Doberman Pinscher,Ch. Marienburg’s Mary Hartman,Mary M. Rodgers & Moe M. Miyagawa,Working,False
45,1978,Newfoundland,Ch. Companionway’s Sir Walter,"Robert T. Montbach, DMV",Working,False
46,1977,Old English Sheepdog,Ch. Loyalblu Hendihop,Loyalblu Reg. & D. & L. Boerner,Working,False
47,1976,Welsh Corgi (Pembroke),Ch. Bear Acres Mister Snowshoes CD,Mrs. Frank Hayward,Working,False
48,1975,Old English Sheepdog,Ch. Sir Lancelot of Barvan,Barbara Vanword,Working,True
49,1974,Doberman Pinscher,Ch. Galaxy’s Corry Missile Belle,Elaine Hernden & Mr. & Mrs. N. J. Reese,Working,False
50,1973,Boxer,Ch. Regency’s Nite Life,Barbara H. Murray,Working,False
51,1972,Welsh Corgi (Pembroke),Ch. Nebriowa Miss Bobbi Sox,Mr. & Mrs. Derek Rayne,Working,False
52,1971,Standard Schnauzer,Ch. Pavo de la Steingasse,Mrs. Margaret S. Smith,Working,False
53,1970,Boxer,Ch. Arriba’s Prima Donna,Dr. & Mrs. P. J. Pagano & Dr. T. Fickes,Working,True
54,1969,Old English Sheepdog,Ch. Prince Andrew of Sherline,Mr. & Mrs. Howard Sherline,Working,False
55,1968,German Shepherd,Ch. Bar von Weiherturchen,Barbara Schermerhorn,Working,False
56,1967,Old English Sheepdog,Ch. Fezziwig Raggedy Andy,Serena & Hendrik Van Rensselaer,Working,False
57,1966,Old English Sheepdog,Ch. Fezziwig Raggedy Andy,Serena & Hendrik Van Rensselaer,Working,False
