,year,breed,dog,owner(s),group,BIS
166,1957,Afghan Hound,Ch. Shirkham of Grandeur,Sunny Shay & Dorothy Chenade,Hound,True
167,1956,Bloodhound,Ch. Fancy Bombardier,Tom & Pearl Sheahan,Hound,False
168,1955,Afghan Hound,Ch. Taejon of Crown Crest,Kay Finch,Hound,False
169,1954,Afghan Hound,Ch. Taejon of Crown Crest,Kay Finch,Hound,False
170,1953,Bloodhound,Ch. Fancy Bombardier,Tom & Pearl Sheahan,Hound,False
171,1952,Dachshund (Wirehaired),Ch. Thomarel’s Lola,Stanley F. Todd,Hound,False
172,1951,Dachshund (Smooth),Ch. Aristo Yon Marienlust,Mrs. Lancaster Andrews,Hound,False
173,1950,Afghan Hound,Ch. Turkuman Nissim’s Laurel,Sunny Shay & Sol Malkin,Hound,False
174,1949,Greyhound,Ch. Magic of Mardormere,Mardormere Kennels,Hound,False
175,1948,Greyhound,Ch. Magic of Mardormere,Mardormere Kennels,Hound,False
176,1947,Greyhound,Ch. Magic of Mardormere,Mardormere Kennels,Hound,False
177,1946,Afghan Hound,Ch. Ali Khyber,Leah P. McConaha,Hound,False
178,1945,Saluki,Ch. Marjan II,El Retiro Kennels,Hound,False
179,1944,American Foxhound,Newbold Ely’s Gloria,W. Newbold Ely,Hound,False
180,1943,Borzoi,Vigow of Romanoff,Louis J. Murr,Hound,False
181,1942,Borzoi,Tydd of Romanoff,Louis J. Murr,Hound,False
182,1941,Afghan Hound,Ch. Rana of Chaman of Royal Irish,Marion Florsheim,Hound,False
183,1940,Saluki,Ch Marjan II,Anna Marie Paterno,Hound,False
184,1939,Beagle,Ch. Meadowlark Draftsman,Foxcatcher Beagles,Hound,False
185,1938,Dachshund (Smooth),Ch. Fox vom Teckelhof,Llieno Kennels,Hound,False
186,1937,Greyhound,Ch. White Rose of Boveway,Windholme Kennels,Hound,False
187,1936,Greyhound,White Rose of Boveway,Windholme Kennels,Hound,False
188,1935,Greyhound,Southball Moonstone,Halcyon Kennels,Hound,False
189,1934,Greyhound,Lily of Devon,Windholme Kennels,Hound,False
190,1933,Greyhound,Boveway Beau Brummel,Windholme Kennels,Hound,False
191,1932,Greyhound,Ch. Gamecock Duke of Wales,George S. West,Hound,False
192,1931,Greyhound,Gamecock Duke of Wales,George S. West,Hound,False
193,1930,Beagle (15″),Ch. Meadow Lark Watchman,Louis Batjer,Hound,False
